name	uci
Polish Opening: King's Indian Variation, Schiffler Attack	b2b4 g8f6 c1b2 g7g6 e2e4
Polish Opening: King's Indian Variation, Sokolsky Attack	b2b4 g8f6 c1b2 g7g6 c2c4 f8g7 e2e3 d7d6 g1f3 e8g8 d2d4
Polish Opening: Myers Variation	b2b4 d7d5 c1b2 c7c6 a2a4
Polish Opening: Outflank Variation	b2b4 c7c6
Polish Opening: Queen's Indian Variation	b2b4 e7e6 c1b2 g8f6 b4b5 b7b6
Polish Opening: Queenside Defense	b2b4 e7e6 c1b2 g8f6 b4b5 a7a6
Polish Opening: Rooks Swap Line	b2b4 e7e6 c1b2 g8f6 b4b5 a7a6 a2a4 a6b5 a4b5 a8a1 b2a1
Polish Opening: Schiffler-Sokolsky Variation	b2b4 e7e6 c1b2 g8f6 b4b5 d7d5 e2e3
Polish Opening: Schuehler Gambit	b2b4 c7c6 c1b2 a7a5 b4b5 c6b5 e2e4
Polish Opening: Symmetrical Variation	b2b4 b7b5
Polish Opening: Tartakower Gambit	b2b4 e7e5 c1b2 f7f6 e2e4
Polish Opening: Wolferts Gambit	b2b4 e7e5 c1b2 c7c5
Saragossa Opening	c2c3
Sodium Attack	b1a3
Sodium Attack: Chenoboskion Variation	b1a3 g7g6 g2g4
Sodium Attack: Durkin Gambit	b1a3 e7e5 a3c4 b8c6 e2e4 f7f5
Valencia Opening	d2d3 e7e5 b1d2
Van Geet Opening	b1c3
Van Geet Opening: Battambang Variation	a2a3 e7e5 b1c3
Van Geet Opening: Billockus-Johansen Gambit	b1c3 e7e5 g1f3 f8c5
Van Geet Opening: Caro-Kann Variation, St. Patrick's Attack	b1c3 d7d5 e2e4 c7c6 h2h3
Van Geet Opening: Damhaug Gambit	b1c3 d7d5 f2f4 e7e5
Van Geet Opening: Dougherty Gambit	b1c3 d7d5 e2e4 d5e4 f2f3
Van Geet Opening: Dunst-Perrenet Gambit	b1c3 d7d5 e2e4 d5e4 d2d3
Van Geet Opening: Düsseldorf Gambit	b1c3 c7c5 b2b4
Van Geet Opening: Gladbacher Gambit	b1c3 e7e5 b2b3 d7d5 e2e4 d5e4 d2d3
Van Geet Opening: Hector Gambit	b1c3 d7d5 e2e4 d5e4 f1c4
Van Geet Opening: Hergert Gambit	b1c3 d7d6 f2f4 e7e5 f4e5 b8c6
Van Geet Opening: Hulsemann Gambit	b1c3 e7e5 e2e3 d7d5 d1h5 c8e6
Van Geet Opening: Jendrossek Gambit	b1c3 d7d5 f2f4 d5d4 c3e4 f7f5 e4f2 g8f6 g1f3 c7c5 b2b4
Van Geet Opening: Kluever Gambit	b1c3 f7f5 e2e4 f5e4 d2d3
Van Geet Opening: Laroche Gambit	b1c3 b7b5
Van Geet Opening: Liebig Gambit	b1c3 e7e5 e2e3 d7d5 d1h5 g8f6
Van Geet Opening: Melleby Gambit	b1c3 d7d5 f2f4 d5d4 c3e4 c7c5
Van Geet Opening: Myers Attack	b1c3 g7g6 h2h4
Van Geet Opening: Napoleon Attack	b1c3 e7e5 g1f3 b8c6 d2d4
Van Geet Opening: Novosibirsk Variation	b1c3 c7c5 d2d4 c5d4 d1d4 b8c6 d4h4
Van Geet Opening: Nowokunski Gambit	b1c3 e7e5 f2f4 e5f4 e2e4
Van Geet Opening: Pfeiffer Gambit	b1c3 d7d5 f2f4 d5d4 c3e4 e7e5
Van Geet Opening: Pfeiffer Gambit, Sleipnir Countergambit	b1c3 d7d5 f2f4 d5d4 c3e4 e7e5 g1f3
Van Geet Opening: Reversed Nimzowitsch	b1c3 e7e5
Van Geet Opening: Reversed Scandinavian	b1c3 e7e5 d2d4 e5d4 d1d4 b8c6 d4a4
Van Geet Opening: Sicilian Two Knights	b1c3 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4
Van Geet Opening: Sleipnir Gambit	b1c3 d7d5 e2e3 e7e5 d2d4 f8b4
Van Geet Opening: Twyble Attack	b1c3 c7c5 a1b1
Van Geet Opening: Tübingen Gambit	b1c3 g8f6 g2g4
Van Geet Opening: Venezolana Variation	b1c3 d7d5 d2d3 g8f6 g2g3
Van Geet Opening: Warsteiner Gambit	b1c3 d7d5 f2f4 g7g5
Van't Kruijs Opening	e2e3
Van't Kruijs Opening: Bouncing Bishop Variation	e2e3 e7e5 f1c4 b7b5 c4b3
Van't Kruijs Opening: Keoni-Hiva Gambit, Akahi Variation	e2e3 e7e5 b1c3 g8f6 f2f4 e5f4 g1f3
Van't Kruijs Opening: Keoni-Hiva Gambit, Alua Variation	e2e3 e7e5 b1c3 b8c6 f2f4 e5f4 g1f3
Van't Kruijs Opening: Keoni-Hiva Gambit, Ekolu Variation	e2e3 e7e5 b1c3 d7d5 f2f4 e5f4 g1f3
Venezolana Opening	d2d3 c7c5 b1c3 b8c6 g2g3
Ware Opening	a2a4
Ware Opening: Meadow Hay Trap	a2a4 e7e5 a1a3
Ware Opening: Ware Gambit	a2a4 e7e5 a4a5 d7d5 e2e3 f7f5 a5a6
Ware Opening: Wing Gambit	a2a4 b7b5 a4b5 c8b7
Nimzo-Larsen Attack	b2b3
Nimzo-Larsen Attack: Classical Variation	b2b3 d7d5
Nimzo-Larsen Attack: Dutch Variation	b2b3 f7f5
Nimzo-Larsen Attack: English Variation	b2b3 c7c5
Nimzo-Larsen Attack: Graz Attack	b2b3 d7d5 c1a3
Nimzo-Larsen Attack: Indian Variation	b2b3 g8f6
Nimzo-Larsen Attack: Modern Variation	b2b3 e7e5
Nimzo-Larsen Attack: Modern Variation	b2b3 e7e5 c1b2 b8c6
Nimzo-Larsen Attack: Modern Variation	b2b3 e7e5 c1b2 b8c6 e2e3
Nimzo-Larsen Attack: Pachman Gambit	b2b3 e7e5 c1b2 b8c6 f2f4
