name	uci
French Defense: Tarrasch Variation, Haberditz Variation	e2e4 e7e6 d2d4 d7d5 b1d2 f7f5
French Defense: Tarrasch Variation, Modern System	e2e4 e7e6 d2d4 d7d5 b1d2 a7a6
French Defense: Tarrasch Variation, Morozevich Variation	e2e4 e7e6 d2d4 d7d5 b1d2 f8e7
French Defense: Tarrasch Variation, Guimard Defense, Main Line	e2e4 e7e6 d2d4 d7d5 b1d2 b8c6 g1f3 g8f6
French Defense: Tarrasch Variation, Botvinnik Variation	e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b7b6
French Defense: Tarrasch Variation, Closed Variation	e2e4 e7e6 d2d4 d7d5 b1d2 g8f6
French Defense: Tarrasch Variation, Closed Variation	e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b8c6
French Defense: Tarrasch Variation, Pawn Center Variation	e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f2f4
French Defense: Tarrasch Variation, Closed Variation, Main Line	e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b8c6 g1e2 c5d4 c3d4
French Defense: Tarrasch Variation, Leningrad Variation	e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b8c6 g1e2 c5d4 c3d4 d7b6
French Defense: Tarrasch Variation, Chistyakov Defense	e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 d8d5
French Defense: Tarrasch Variation, Chistyakov Defense, Modern Line	e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 d8d5 g1f3 c5d4 f1c4 d5d6 e1g1 g8f6 d2b3 b8c6 b3d4 c6d4 f3d4 a7a6
French Defense: Tarrasch Variation, Eliskases Variation	e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 d8d5 g1f3 c5d4 f1c4 d5d8
French Defense: Tarrasch Variation, Open System	e2e4 e7e6 d2d4 d7d5 b1d2 c7c5
French Defense: Tarrasch Variation, Open System, Euwe-Keres Line	e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 g1f3
French Defense: Tarrasch Variation, Open System, Shaposhnikov Gambit	e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 g8f6
French Defense: Tarrasch Variation, Open System, Süchting Line	e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 c2c3
French Defense: Tarrasch Variation, Open System	e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 e6d5
French Defense: Tarrasch Variation, Open System, Advance Line	e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 e6d5 g1f3 c5c4
French Defense: Tarrasch Variation, Open System, Main Line	e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 e6d5 g1f3 b8c6
French Defense: Classical Variation, Svenonius Variation	e2e4 e7e6 d2d4 d7d5 b1c3 b8c6 e4d5
French Defense: Paulsen Variation	e2e4 e7e6 d2d4 d7d5 b1c3
French Defense: Rubinstein Variation	e2e4 e7e6 d2d4 d7d5 b1c3 d5e4
French Defense: Rubinstein Variation, Blackburne Defense	e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 b8d7
French Defense: Rubinstein Variation, Capablanca Line	e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 b8d7 g1f3 g8f6 e4f6 d7f6 f3e5
French Defense: Rubinstein Variation, Ellis Gambit	e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 e6e5
French Defense: Rubinstein Variation, Fort Knox Variation	e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 c8d7 g1f3 d7c6
French Defense: Rubinstein Variation, Kasparov Attack	e2e4 e7e6 d2d4 d7d5 b1d2 d5e4 d2e4 b8d7 g1f3 g8f6 e4f6 d7f6 c2c3
French Defense: Rubinstein Variation, Maric Variation	e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 d8d5
Sicilian Defense: Marshall Gambit	e2e4 c7c5 b1c3 e7e6 d2d4 d7d5
French Defense: Burn Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5
French Defense: Classical Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6
French Defense: Classical Variation, Burn Variation, Main Line	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 d5e4 c3e4 f8e7 g5f6 e7f6 g1f3 e8g8
French Defense: Classical Variation, Burn Variation, Morozevich Line	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 d5e4 c3e4 f8e7 g5f6 g7f6
French Defense: Classical Variation, Delayed Exchange Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4d5
French Defense: Classical Variation, Steinitz Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5
French Defense: Classical Variation, Swiss Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 f1d3
French Defense: Henneberger Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1e3
French Defense: Steinitz Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 d4c5 b8c6
French Defense: Steinitz Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 g1f3
French Defense: Steinitz Variation, Boleslavsky Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 g1f3 b8c6 c1e3
French Defense: Steinitz Variation, Bradford Attack Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 d4c5 f8c5 d1g4
French Defense: Steinitz Variation, Brodsky-Jones Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 d4c5 b8c6 a2a3 f8c5 d1g4 e8g8 g1f3 f7f6
French Defense: Steinitz Variation, Gledhill Attack	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 d1g4
French Defense: MacCutcheon Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4
French Defense: MacCutcheon Variation, Advance Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5
French Defense: MacCutcheon Variation, Bernstein Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5h4
French Defense: MacCutcheon Variation, Bogoljubov Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4d5 d8d5 g5f6 g7f6 d1d2 d5a5
French Defense: MacCutcheon Variation, Chigorin Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 e5f6
French Defense: MacCutcheon Variation, Dr. Olland Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5c1
French Defense: MacCutcheon Variation, Duras Variation	e2e4 e7e6 b1c3 d7d5 d2d4 g8f6 c1g5 f8b4 e4e5 h7h6 g5d2 b4c3 b2c3 f6e4 d1g4 e8f8 d2c1
French Defense: MacCutcheon Variation, Exchange Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4d5
French Defense: MacCutcheon Variation, Grigoriev Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 e5f6 h6g5 f6g7 h8g8 h2h4 g5h4 d1g4
French Defense: MacCutcheon Variation, Janowski Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5e3
French Defense: MacCutcheon Variation, Lasker Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5d2 b4c3
French Defense: MacCutcheon Variation, Lasker Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5d2 b4c3 b2c3 f6e4 d1g4 g7g6
French Defense: MacCutcheon Variation, Tartakower Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5d2 f6d7
French Defense: Alekhine-Chatard Attack	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 h2h4
French Defense: Alekhine-Chatard Attack, Albin-Chatard Gambit	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 h2h4 e7g5 h4g5 d8g5
French Defense: Alekhine-Chatard Attack, Breyer Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 h2h4 c7c5
French Defense: Alekhine-Chatard Attack, Maróczy Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 h2h4 a7a6
French Defense: Alekhine-Chatard Attack, Spielmann Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 h2h4 e8g8
French Defense: Alekhine-Chatard Attack, Teichmann Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 h2h4 f7f6
French Defense: Classical Variation, Frankfurt Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6g8 g5e3 b7b6
French Defense: Classical Variation, Normal Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7
French Defense: Classical Variation, Richter Attack	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 g5f6
