name	uci
Blackmar-Diemer Gambit: Rasa-Studier Gambit	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 c1e3
Blackmar-Diemer Gambit: Reversed Albin Countergambit	d2d4 d7d5 e2e4 d5e4 b1c3 c7c5
Blackmar-Diemer Gambit: Zeller Defense	d2d4 d7d5 e2e4 d5e4 b1c3 c8f5
Blackmar-Diemer Gambit: Zeller Defense, Soller Attack	d2d4 d7d5 e2e4 d5e4 b1c3 c8f5 f2f3 g8f6 f1c4
Blackmar-Diemer Gambit: von Popiel Gambit	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 c1g5
Blackmar-Diemer Gambit: von Popiel Gambit, Zilbermints Variation	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 c1g5 c8f5 g5f6 e7f6 g2g4 f5g6 d1e2 f8b4 e2b5
Queen's Pawn Game	d2d4 d7d5
Queen's Pawn Game	d2d4 d7d5 e2e3
Queen's Pawn Game	d2d4 d7d5 e2e3 g8f6
Queen's Pawn Game: Accelerated London System	d2d4 d7d5 c1f4
Queen's Pawn Game: Accelerated London System, Steinitz Countergambit	d2d4 d7d5 c1f4 c7c5
Queen's Pawn Game: Accelerated London System, Steinitz Countergambit Accepted	d2d4 d7d5 c1f4 c7c5 d4c5
Queen's Pawn Game: Accelerated London System, Steinitz Countergambit, Morris Countergambit	d2d4 d7d5 c1f4 c7c5 e2e4
Queen's Pawn Game: Accelerated London System, Steinitz Countergambit, Morris Countergambit Accepted	d2d4 d7d5 c1f4 c7c5 e2e4 d5e4
Queen's Pawn Game: Chigorin Variation	d2d4 d7d5 b1c3
Queen's Pawn Game: Chigorin Variation, Alburt Defense	d2d4 d7d5 b1c3 c8f5
Queen's Pawn Game: Chigorin Variation, Anti-Veresov	d2d4 d7d5 b1c3 c8g4
Queen's Pawn Game: Chigorin Variation, Fianchetto Defense	d2d4 g7g6 g1f3 f8g7 b1c3 d7d5
Queen's Pawn Game: Chigorin Variation, Irish Gambit	d2d4 d7d5 b1c3 c7c5
Queen's Pawn Game: Chigorin Variation, Shaviliuk Gambit	d2d4 d7d5 b1c3 e7e5
Queen's Pawn Game: Chigorin Variation, Shropshire Defense	d2d4 d7d5 b1c3 h7h5
