name	uci
Owen Defense: Wind Gambit	e2e4 b7b6 d2d4 c8b7 f2f3 e7e5
Pirc Defense	e2e4 d7d6
Pirc Defense	e2e4 d7d6 d2d4
Pirc Defense	e2e4 d7d6 d2d4 g8f6
Pirc Defense: Roscher Gambit	e2e4 d7d6 d2d4 g8f6 g1f3
Rat Defense: Antal Defense	e2e4 d7d6 d2d4 b8d7
Rat Defense: Fuller Gambit	e2e4 d7d6 f2f4 d6d5 e4d5 g8f6
Rat Defense: Harmonist	e2e4 d7d6 f2f4
Rat Defense: Petruccioli Attack	e2e4 d7d6 h2h4
Rat Defense: Spike Attack	e2e4 d7d6 g2g4
St. George Defense	e2e4 a7a6
St. George Defense: Polish Variation	e2e4 a7a6 d2d4 b7b5 g1f3 c8b7 f1d3 e7e6
St. George Defense: San Jorge Variation	e2e4 a7a6 d2d4 b7b5 g1f3 c8b7 f1d3 d7d6 e1g1 g7g6 c2c3 f8g7
St. George Defense: Zilbermints Gambit	e2e4 a7a6 d2d4 e7e5
Van Geet Opening: Berlin Gambit	e2e4 b8c6 d2d4 d7d5 b1c3 d5e4 d4d5
Ware Defense	e2e4 a7a5
Ware Defense: Snagglepuss Defense	e2e4 a7a5 d2d4 b8c6
Scandinavian Defense	e2e4 d7d5
Scandinavian Defense	e2e4 d7d5 b2b3
Scandinavian Defense: Anderssen Counterattack	e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 e7e5
Scandinavian Defense: Anderssen Counterattack, Collijn Variation	e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 e7e5 g1f3 c8g4
Scandinavian Defense: Anderssen Counterattack, Goteborg System	e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 e7e5 g1f3
Scandinavian Defense: Anderssen Counterattack, Orthodox Attack	e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 e7e5 d4e5 b8c6 g1f3 f8b4 c1d2
Scandinavian Defense: Blackburne Gambit	e2e4 d7d5 e4d5 c7c6 d5c6 b8c6
Scandinavian Defense: Blackburne-Kloosterboer Gambit	e2e4 d7d5 e4d5 c7c6
Scandinavian Defense: Boehnke Gambit	e2e4 d7d5 e4d5 e7e5 d5e6 c8e6
Scandinavian Defense: Bronstein Variation	e2e4 d7d5 e4d5 d8d5 b1c3 d5d6 d2d4 g8f6 g1f3 a7a6
Scandinavian Defense: Classical Variation	e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 g8f6 g1f3 c8f5
Scandinavian Defense: Grünfeld Variation	e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 g8f6 g1f3 c8f5 f3e5 c7c6 g2g4
Scandinavian Defense: Gubinsky-Melts Defense	e2e4 d7d5 e4d5 d8d5 b1c3 d5d6
Scandinavian Defense: Icelandic-Palme Gambit	e2e4 d7d5 e4d5 g8f6 c2c4 e7e6
Scandinavian Defense: Kiel Variation	e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 c2c4 d5b4
Scandinavian Defense: Kloosterboer Gambit	e2e4 d7d5 e4d5 c7c6 d5c6 e7e5
Scandinavian Defense: Kádas Gambit	e2e4 d7d5 e4d5 g8f6 d2d4 c7c6 d5c6 e7e5
Scandinavian Defense: Lasker Variation	e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 g8f6 g1f3 c8g4 h2h3
Scandinavian Defense: Main Line	e2e4 d7d5 e4d5 d8d5 b1c3 d5a5
Scandinavian Defense: Main Line, Leonhardt Gambit	e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 b2b4
Scandinavian Defense: Main Line, Mieses Variation	e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 g8f6
Scandinavian Defense: Marshall Variation	e2e4 d7d5 e4d5 g8f6 d2d4 f6d5
Scandinavian Defense: Mieses-Kotroc Variation	e2e4 d7d5 e4d5 d8d5
Scandinavian Defense: Modern Variation	e2e4 d7d5 e4d5 g8f6
Scandinavian Defense: Modern Variation	e2e4 d7d5 e4d5 g8f6 d2d4
Scandinavian Defense: Modern Variation, Gipslis Variation	e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 g1f3 c8g4
Scandinavian Defense: Modern Variation, Wing Gambit	e2e4 d7d5 e4d5 g8f6 d2d4 g7g6 c2c4 b7b5
Scandinavian Defense: Panov Transfer	e2e4 d7d5 e4d5 g8f6 c2c4 c7c6
Scandinavian Defense: Portuguese Gambit	e2e4 d7d5 e4d5 g8f6 d2d4 c8g4
Scandinavian Defense: Portuguese Gambit, Banker Variation	e2e4 d7d5 e4d5 g8f6 d2d4 c8g4 f2f3 g4f5 c2c4
Scandinavian Defense: Portuguese Gambit, Classical Variation	e2e4 d7d5 e4d5 g8f6 d2d4 c8g4 g1f3
Scandinavian Defense: Portuguese Gambit, Correspondence Refutation	e2e4 d7d5 e4d5 g8f6 d2d4 c8g4 f2f3 g4f5 g2g4
Scandinavian Defense: Portuguese Gambit, Elbow Variation	e2e4 d7d5 e4d5 g8f6 d2d4 c8g4 f1b5 c7c6
Scandinavian Defense: Portuguese Gambit, Jadoul Variation	e2e4 d7d5 e4d5 g8f6 d2d4 c8g4 f2f3 g4f5 f1b5 b8d7 c2c4
Scandinavian Defense: Portuguese Gambit, Lusophobe Variation	e2e4 d7d5 e4d5 g8f6 d2d4 c8g4 f1b5 b8d7 b5e2
Scandinavian Defense: Portuguese Gambit, Melbourne Shuffle Variation	e2e4 d7d5 e4d5 g8f6 d2d4 c8g4 f2f3 g4f5 f1b5 b8d7 b1c3
Scandinavian Defense: Portuguese Gambit, Wuss Variation	e2e4 d7d5 e4d5 g8f6 d2d4 c8g4 f1e2
Scandinavian Defense: Richter Variation	e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 g1f3 g7g6
Scandinavian Defense: Richter Variation	e2e4 d7d5 e4d5 g8f6 d2d4 g7g6
Scandinavian Defense: Schiller-Pytel Variation	e2e4 d7d5 e4d5 d8d5 b1c3 d5d6 d2d4 c7c6
Scandinavian Defense: Schiller-Pytel Variation, Modern Variation	e2e4 d7d5 e4d5 d8d5 b1c3 d5d6 d2d4 g8f6 f1c4 c7c6 g1e2 c8f5 c1f4 d6b4
Scandinavian Defense: Valencian Variation	e2e4 d7d5 e4d5 d8d5 b1c3 d5d8
Scandinavian Defense: Valencian Variation, Ilundain Variation	e2e4 d7d5 e4d5 d8d5 b1c3 d5d8 d2d4 g8f6 g1f3 c7c6
Scandinavian Defense: Valencian Variation, Main Line	e2e4 d7d5 e4d5 d8d5 b1c3 d5d8 d2d4 g8f6 g1f3 c8g4
Scandinavian Defense: Zilbermints Gambit	e2e4 d7d5 b2b4
Van Geet Opening: Grünfeld Defense	e2e4 d7d5 b1c3 d5e4 c3e4 e7e5
Alekhine Defense	e2e4 g8f6
Alekhine Defense: Brooklyn Variation	e2e4 g8f6 e4e5 f6g8
Alekhine Defense: Brooklyn Variation, Everglades Variation	e2e4 g8f6 e4e5 f6g8 d2d4 f7f5
Alekhine Defense: Buckley Attack	e2e4 g8f6 e4e5 f6d5 b1a3
Alekhine Defense: Hunt Variation, Lasker Simul Gambit	e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 c4c5 b6d5 f1c4 e7e6 b1c3
Alekhine Defense: Hunt Variation, Matsukevich Gambit	e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 c4c5 b6d5 b1c3 d5c3 d2c3 d7d6 c1g5
Alekhine Defense: Hunt Variation, Mikenas Gambit	e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 c4c5 b6d5 f1c4 e7e6 b1c3 d7d6 c3d5 e6d5 c4d5
Alekhine Defense: Kmoch Variation	e2e4 g8f6 e4e5 f6d5 f1c4 d5b6 c4b3 c7c5 d2d3
Alekhine Defense: Krejcik Variation	e2e4 g8f6 f1c4
Alekhine Defense: Krejcik Variation, Krejcik Gambit	e2e4 g8f6 f1c4 f6e4 c4f7
Alekhine Defense: Maróczy Variation	e2e4 g8f6 d2d3
Alekhine Defense: Mokele Mbembe	e2e4 g8f6 e4e5 f6e4
Alekhine Defense: Mokele Mbembe, Modern Line	e2e4 g8f6 e4e5 f6e4 d2d4 f7f6
Alekhine Defense: Mokele Mbembe, Vavra Defense	e2e4 g8f6 e4e5 f6e4 d2d4 e7e6
Alekhine Defense: Normal Variation	e2e4 g8f6 e4e5 f6d5
Alekhine Defense: Scandinavian Variation	e2e4 g8f6 b1c3 d7d5
Alekhine Defense: Scandinavian Variation, Geschev Gambit	e2e4 g8f6 b1c3 d7d5 e4d5 c7c6
Alekhine Defense: Scandinavian Variation, Myers Gambit	e2e4 g8f6 b1c3 d7d5 d2d3 d5e4 c1g5
